,id,age,capitalgain,capitalloss,country,education,educationnum,fnlwgt,hours,maritalstatus,occupation,race,relationship,salary,sex,workclass
0,4317,65,0,0, United-States, Some-college,10,225473,35, Widowed, Craft-repair, White, Not-in-family, <=50K, Female, Self-emp-not-inc
1,25269,22,0,0, United-States, Assoc-acdm,12,188274,40, Never-married, Handlers-cleaners, White, Own-child, <=50K, Male, Private
2,3372,20,0,0, United-States, Some-college,10,235442,35, Never-married, ?, White, Own-child, <=50K, Male, ?
3,14340,43,0,0, United-States, Some-college,10,101709,40, Divorced, Handlers-cleaners, Asian-Pac-Islander, Not-in-family, <=50K, Male, Federal-gov
4,18417,24,0,0, United-States, Some-college,10,32921,50, Never-married, Farming-fishing, White, Own-child, <=50K, Male, Private
5,1584,39,10520,0, United-States, HS-grad,9,128715,40, Divorced, Adm-clerical, White, Not-in-family, >50K, Male, Private
6,7034,61,0,0, United-States, Some-college,10,503675,60, Married-civ-spouse, Sales, Black, Husband, >50K, Male, Self-emp-not-inc
7,24299,56,0,1974, United-States, HS-grad,9,105281,40, Widowed, Sales, White, Not-in-family, <=50K, Female, Private
8,13909,30,0,0, United-States, HS-grad,9,206051,40, Married-civ-spouse, Transport-moving, White, Husband, <=50K, Male, Private
9,28386,35,0,0, United-States, HS-grad,9,31269,40, Married-civ-spouse, Exec-managerial, White, Husband, <=50K, Male, Private
10,9892,30,0,0, United-States, Some-college,10,241583,40, Married-civ-spouse, Machine-op-inspct, White, Husband, <=50K, Male, Private
11,16096,35,0,0, United-States, HS-grad,9,283237,40, Never-married, Machine-op-inspct, White, Own-child, <=50K, Male, Private
12,26713,70,0,0, United-States, HS-grad,9,89787,20, Married-civ-spouse, Prof-specialty, White, Husband, <=50K, Male, Private
13,19221,57,0,0, United-States, HS-grad,9,148315,30, Married-civ-spouse, Sales, White, Husband, <=50K, Male, Private
14,28459,23,0,0, United-States, Bachelors,13,77581,40, Never-married, Exec-managerial, White, Own-child, <=50K, Male, Private
15,9640,46,0,0, United-States, Bachelors,13,330087,55, Married-civ-spouse, Exec-managerial, White, Husband, >50K, Male, Private
